CSV generated online at simspecs.com
ID,Name,Max or Junction Temp(C)
274,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-23,72.03
275,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-19,76.09
276,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-39,77.36
277,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-35,76.99
278,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-21,76.01
279,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-32,69.93
280,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-25,54.95
281,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-24,54.77
282,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-1,55.72
283,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-3,55.71
284,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-34,56.93
285,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-38,56.84
286,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-17,56.78
287,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-20,56.91
288,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-36,52.80
289,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-22,53.91
290,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-23,53.90
291,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-19,55.51
292,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-39,55.76
293,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-35,55.64
294,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-21,55.49
295,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-32,52.90
296,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-25,55.82
297,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-24,55.52
298,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-1,57.45
299,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-3,57.54
300,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-34,61.56
301,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-38,61.88
302,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-17,60.92
303,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-20,60.83
304,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-36,53.47
305,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-22,55.38
306,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-23,55.39
307,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-19,58.68
308,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-39,59.50
309,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-35,59.34
310,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-21,58.67
311,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-32,53.58
312,2x SFP+-1_U_one slot boxv1.0-1,40.47
313,4x SFP-1_U_one slot boxv1.0-1,48.72
314,4x SFP-2_U_one slot boxv1.0-1,50.53
315,2x RJ-45-1_U_one slot boxv1.0-1,46.87
316,Key-2_U_one slot boxv1.0-1,76.08
317,Zone_3_2_Connector-1_U_one slot boxv1.0-1,76.23
318,Zone_3_1_Connector-2_U_one slot boxv1.0-1,76.49
319,Key-1_U_one slot boxv1.0-1,82.67
320,J23_Connector-2_U_one slot boxv1.0-1,101.83
321,P10_Connector-1_U_one slot boxv1.0-1,122.94
322,front board v1.0-1_U_one slot boxv1.0-1,176.41
323,one slot boxv1.0-1,204.30
